date,btc_price,market_cap_btc,trading_vol_btc,breakeven_5y,dxy_close,sp500_close,month,cpi_raw,cpi_yoy_pct,btc_monthly_avg
2013-07-01,97.504,1107084792.0,0.0,1.8,82.9800033569336,1614.9599609375,2013-07,232.9,,89.98217096774194
2013-07-02,89.489,1016445146.0,0.0,1.82,83.54000091552734,1614.0799560546875,2013-07,232.9,,89.98217096774194
2013-07-03,90.797,1031653673.0,0.0,1.83,83.2300033569336,1615.4100341796875,2013-07,232.9,,89.98217096774194
2013-07-04,78.8,895707780.0,0.0,1.83,83.2300033569336,1615.4100341796875,2013-07,232.9,,89.98217096774194
2013-07-05,78.48,892405890.0,0.0,1.87,84.41999816894531,1631.8900146484375,2013-07,232.9,,89.98217096774194
2013-07-06,67.809,771368060.0,0.0,1.87,84.41999816894531,1631.8900146484375,2013-07,232.9,,89.98217096774194
2013-07-07,68.0831,774804401.0,0.0,1.87,84.41999816894531,1631.8900146484375,2013-07,232.9,,89.98217096774194
2013-07-08,77.502,882356395.0,0.0,1.87,84.19999694824219,1640.4599609375,2013-07,232.9,,89.98217096774194
2013-07-09,76.3915,870081997.0,0.0,1.86,84.58000183105469,1652.3199462890625,2013-07,232.9,,89.98217096774194
2013-07-10,77.0,877378425.0,0.0,1.87,84.04000091552734,1652.6199951171875,2013-07,232.9,,89.98217096774194
2013-07-11,85.75,977479256.0,0.0,1.82,82.75,1675.02001953125,2013-07,232.9,,89.98217096774194
2013-07-12,93.804,1069724400.0,0.0,1.84,82.98999786376953,1680.18994140625,2013-07,232.9,,89.98217096774194
2013-07-13,88.0622,1004551934.0,0.0,1.84,82.98999786376953,1680.18994140625,2013-07,232.9,,89.98217096774194
2013-07-14,95.58,1090715949.0,0.0,1.84,82.98999786376953,1680.18994140625,2013-07,232.9,,89.98217096774194
2013-07-15,94.0,1073073450.0,0.0,1.86,83.04000091552734,1682.5,2013-07,232.9,,89.98217096774194
2013-07-16,97.301,1111179853.0,0.0,1.89,82.43000030517578,1676.260009765625,2013-07,232.9,,89.98217096774194
2013-07-17,98.9796,1130735527.0,0.0,1.9,82.70999908447266,1680.9100341796875,2013-07,232.9,,89.98217096774194
2013-07-18,97.8,1117707300.0,0.0,1.89,82.81999969482422,1689.3699951171875,2013-07,232.9,,89.98217096774194
2013-07-19,88.7869,1015062893.0,0.0,1.91,82.58000183105469,1692.0899658203125,2013-07,232.9,,89.98217096774194
2013-07-20,91.572,1047311253.0,0.0,1.91,82.58000183105469,1692.0899658203125,2013-07,232.9,,89.98217096774194
2013-07-21,89.28,1021492656.0,0.0,1.91,82.58000183105469,1692.0899658203125,2013-07,232.9,,89.98217096774194
2013-07-22,90.3672,1034399451.0,0.0,1.91,82.22000122070312,1695.530029296875,2013-07,232.9,,89.98217096774194
2013-07-23,91.7024,1050054379.0,0.0,1.9,82.01000213623047,1692.3900146484375,2013-07,232.9,,89.98217096774194
2013-07-24,94.5806,1083333286.0,0.0,1.87,82.30000305175781,1685.93994140625,2013-07,232.9,,89.98217096774194
2013-07-25,94.525,1083076902.0,0.0,1.83,81.97000122070312,1690.25,2013-07,232.9,,89.98217096774194
2013-07-26,96.9499,1111232483.0,0.0,1.83,81.62000274658203,1691.6500244140625,2013-07,232.9,,89.98217096774194
2013-07-27,94.13,1079278107.0,0.0,1.83,81.62000274658203,1691.6500244140625,2013-07,232.9,,89.98217096774194
2013-07-28,94.005,1078286703.0,0.0,1.83,81.62000274658203,1691.6500244140625,2013-07,232.9,,89.98217096774194
2013-07-29,98.5759,1131111629.0,0.0,1.81,81.66000366210938,1685.3299560546875,2013-07,232.9,,89.98217096774194
2013-07-30,101.5,1165105812.0,0.0,1.82,81.83000183105469,1685.9599609375,2013-07,232.9,,89.98217096774194
2013-07-31,110.34,1267183179.0,0.0,1.87,81.44999694824219,1685.72998046875,2013-07,232.9,,89.98217096774194
2013-08-01,106.23,1220481782.0,0.0,1.94,82.33999633789062,1706.8699951171875,2013-08,233.456,,113.73258064516129
2013-08-02,101.61,1167849454.0,0.0,1.91,81.91000366210938,1709.6700439453125,2013-08,233.456,,113.73258064516129
2013-08-03,103.7,1192378895.0,0.0,1.91,81.91000366210938,1709.6700439453125,2013-08,233.456,,113.73258064516129
2013-08-04,104.86,1206152150.0,0.0,1.91,81.91000366210938,1709.6700439453125,2013-08,233.456,,113.73258064516129
2013-08-05,106.56,1226188584.0,0.0,1.92,81.87999725341797,1707.1400146484375,2013-08,233.456,,113.73258064516129
2013-08-06,105.841,1218425716.0,0.0,1.94,81.5999984741211,1697.3699951171875,2013-08,233.456,,113.73258064516129
2013-08-07,106.75,1229098150.0,0.0,1.93,81.29000091552734,1690.9100341796875,2013-08,233.456,,113.73258064516129
2013-08-08,101.672,1171586790.0,0.0,1.9,81.01000213623047,1697.47998046875,2013-08,233.456,,113.73258064516129
2013-08-09,103.4,1192028805.0,0.0,1.91,81.12999725341797,1691.4200439453125,2013-08,233.456,,113.73258064516129
2013-08-10,102.71,1184605785.0,0.0,1.91,81.12999725341797,1691.4200439453125,2013-08,233.456,,113.73258064516129
2013-08-11,103.77,1197378682.0,0.0,1.91,81.12999725341797,1691.4200439453125,2013-08,233.456,,113.73258064516129
2013-08-12,105.18,1214268916.0,0.0,1.91,81.33000183105469,1689.469970703125,2013-08,233.456,,113.73258064516129
2013-08-13,106.068,1225008501.0,0.0,1.92,81.7300033569336,1694.1600341796875,2013-08,233.456,,113.73258064516129
2013-08-14,111.621,1289602061.0,0.0,1.86,81.69999694824219,1685.3900146484375,2013-08,233.456,,113.73258064516129
2013-08-15,111.87,1292943118.0,0.0,1.83,81.12999725341797,1661.3199462890625,2013-08,233.456,,113.73258064516129
2013-08-16,109.867,1270257534.0,0.0,1.79,81.26000213623047,1655.8299560546875,2013-08,233.456,,113.73258064516129
2013-08-17,112.74,1304015666.0,0.0,1.79,81.26000213623047,1655.8299560546875,2013-08,233.456,,113.73258064516129
2013-08-18,114.4,1323762440.0,0.0,1.79,81.26000213623047,1655.8299560546875,2013-08,233.456,,113.73258064516129
2013-08-19,118.782,1375023402.0,0.0,1.76,81.2300033569336,1646.06005859375,2013-08,233.456,,113.73258064516129
2013-08-20,120.5,1395441212.0,0.0,1.78,80.91000366210938,1652.3499755859375,2013-08,233.456,,113.73258064516129
2013-08-21,121.51,1407757143.0,0.0,1.77,81.31999969482422,1642.800048828125,2013-08,233.456,,113.73258064516129
2013-08-22,122.499,1419858347.0,0.0,1.77,81.48999786376953,1656.9599609375,2013-08,233.456,,113.73258064516129
2013-08-23,120.0,1391517000.0,0.0,1.82,81.33999633789062,1663.5,2013-08,233.456,,113.73258064516129
2013-08-24,120.44,1397179275.0,0.0,1.82,81.33999633789062,1663.5,2013-08,233.456,,113.73258064516129
2013-08-25,122.0,1415749000.0,0.0,1.82,81.33999633789062,1663.5,2013-08,233.456,,113.73258064516129
2013-08-26,122.04,1416676932.0,0.0,1.82,81.37000274658203,1656.780029296875,2013-08,233.456,,113.73258064516129
